2025-11-15 14:57:58,293 INFO    MainThread:16025 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_setup.py:_flush():80] Configure stats pid to 16025
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_setup.py:_flush():80] Loading settings from /Users/taeheejeong/.config/wandb/settings
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_setup.py:_flush():80] Loading settings from /Users/taeheejeong/Desktop/inthon-dataton/wandb/settings
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /Users/taeheejeong/Desktop/inthon-dataton/wandb/run-20251115_145758-ydkgtwzc/logs/debug.log
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /Users/taeheejeong/Desktop/inthon-dataton/wandb/run-20251115_145758-ydkgtwzc/logs/debug-internal.log
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_init.py:init():840] calling init triggers
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'lr': 0.002, 'num_epochs': 50, 'valid_every': 200, 'max_train_steps': None, 'd_model': 256, 'batch_size': 128, '_wandb': {}}
2025-11-15 14:57:58,294 INFO    MainThread:16025 [wandb_init.py:init():888] starting backend
2025-11-15 14:57:58,937 INFO    MainThread:16025 [wandb_init.py:init():891] sending inform_init request
2025-11-15 14:57:58,960 INFO    MainThread:16025 [wandb_init.py:init():899] backend started and connected
2025-11-15 14:57:58,970 INFO    MainThread:16025 [wandb_init.py:init():969] updated telemetry
2025-11-15 14:57:58,986 INFO    MainThread:16025 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-15 14:57:59,894 INFO    MainThread:16025 [wandb_init.py:init():1040] starting run threads in backend
2025-11-15 14:57:59,914 INFO    MainThread:16025 [wandb_run.py:_console_start():2504] atexit reg
2025-11-15 14:57:59,914 INFO    MainThread:16025 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-15 14:57:59,914 INFO    MainThread:16025 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-15 14:57:59,914 INFO    MainThread:16025 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-15 14:57:59,915 INFO    MainThread:16025 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-15 14:57:59,917 INFO    MainThread:16025 [wandb_watch.py:_watch():68] Watching
2025-11-15 15:13:04,892 INFO    wandb-AsyncioManager-main:16025 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-15 15:13:04,892 INFO    wandb-AsyncioManager-main:16025 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
